id,type_id,type_name,name
111,3,Куст,к.111
112,3,Куст,к.112
121,3,Куст,к.121
122,3,Куст,к.122
123,3,Куст,к.123
131,3,Куст,к.131
132,3,Куст,к.132
133,3,Куст,к.133
134,3,Куст,к.134
141,3,Куст,к.141
142,3,Куст,к.142
143,3,Куст,к.143
144,3,Куст,к.144
145,3,Куст,к.145
151,3,Куст,к.151
152,3,Куст,к.152
153,3,Куст,к.153
154,3,Куст,к.154
155,3,Куст,к.155
156,3,Куст,к.156
161,3,Куст,к.161
162,3,Куст,к.162
163,3,Куст,к.163
164,3,Куст,к.164
165,3,Куст,к.165
166,3,Куст,к.166
167,3,Куст,к.167
171,3,Куст,к.171
172,3,Куст,к.172
173,3,Куст,к.173
174,3,Куст,к.174
175,3,Куст,к.175
176,3,Куст,к.176
177,3,Куст,к.177
178,3,Куст,к.178
211,3,Куст,к.211
212,3,Куст,к.212
221,3,Куст,к.221
222,3,Куст,к.222
223,3,Куст,к.223
231,3,Куст,к.231
232,3,Куст,к.232
233,3,Куст,к.233
234,3,Куст,к.234
241,3,Куст,к.241
242,3,Куст,к.242
243,3,Куст,к.243
244,3,Куст,к.244
245,3,Куст,к.245
251,3,Куст,к.251
252,3,Куст,к.252
253,3,Куст,к.253
254,3,Куст,к.254
255,3,Куст,к.255
256,3,Куст,к.256
261,3,Куст,к.261
262,3,Куст,к.262
263,3,Куст,к.263
264,3,Куст,к.264
265,3,Куст,к.265
266,3,Куст,к.266
267,3,Куст,к.267
311,3,Куст,к.311
312,3,Куст,к.312
321,3,Куст,к.321
322,3,Куст,к.322
323,3,Куст,к.323
331,3,Куст,к.331
332,3,Куст,к.332
333,3,Куст,к.333
334,3,Куст,к.334
341,3,Куст,к.341
342,3,Куст,к.342
343,3,Куст,к.343
344,3,Куст,к.344
345,3,Куст,к.345
351,3,Куст,к.351
352,3,Куст,к.352
353,3,Куст,к.353
354,3,Куст,к.354
355,3,Куст,к.355
356,3,Куст,к.356
411,3,Куст,к.411
412,3,Куст,к.412
421,3,Куст,к.421
422,3,Куст,к.422
423,3,Куст,к.423
431,3,Куст,к.431
432,3,Куст,к.432
433,3,Куст,к.433
434,3,Куст,к.434
441,3,Куст,к.441
442,3,Куст,к.442
443,3,Куст,к.443
444,3,Куст,к.444
445,3,Куст,к.445
